section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,79,1788548622342206846,1788548623713455846,1371,908.668,291.706,6.428801165034439,18.684227252284476
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,80,1788548623743455846,1788548624424079846,681,935.893,238.111,8.340161073172874,22.03958062965138
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,81,1788548624459204846,1788548625465079846,1006,935.687,300.833,8.185897679967093,18.083897084954025
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,82,1788548625490079846,1788548626756328846,1266,962.694,350.767,9.849422737279077,14.908552737100061
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,83,1788548626836328846,1788548627051578846,215,675.016,319.341,-8.865811059689632,16.89622030971857
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,84,1788548627116702846,1788548627336827846,220,977.0,391.654,10.700373020564927,12.318279053543327
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,85,1788548627361831846,1788548627577077846,215,946.287,404.807,8.706153054930658,11.51323181211385
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,86,1788548627797327846,1788548629153576846,1356,972.304,430.496,10.341894770382671,9.873218644106137
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,87,1788548629208580846,1788548631575825846,2367,982.795,334.973,11.187335953247123,15.880822482937177
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,88,1788548631620825846,1788548631796074846,175,851.06,244.606,2.677619286143206,21.694824104316954
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,89,1788548631831074846,1788548632256449846,425,793.431,248.206,-1.15747590911187,21.47098364573422
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,90,1788548632296455846,1788548632671824846,375,895.269,336.98,5.491239295906966,15.833157321338433
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,91,1788548632842074846,1788548633142324846,300,871.969,494.889,3.8885451768495876,5.837289526745094
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,92,1788548633182324846,1788548634013073846,831,901.477,572.771,5.749216262026527,0.8913734324539944
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,93,1788548634078202846,1788548634283323846,205,996.38,690.033,11.811157099934833,-6.498731690817951
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,94,1788548634348451846,1788548635429447846,1081,859.905,536.163,3.112289818664485,3.21756699333277
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,95,1788548635614588846,1788548636625577846,1011,858.835,504.518,3.0494901528954923,5.227613006992126
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,96,1788548636690702846,1788548636815835846,125,1027.059,628.938,13.717171619606347,-2.6433254456716178
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,97,1788548636855821846,1788548637321196846,465,1095.297,646.136,18.045554021260518,-3.691356098908284
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,98,1788548637401321846,1788548637556445846,155,826.968,499.239,1.020309055979735,5.565152270779424
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,99,1788548637576445846,1788548638262070846,686,838.61,489.65,1.7633351516788323,6.173684483506432
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,100,1788548638297195846,1788548638472320846,175,781.297,450.999,-1.896333395364855,8.626589994181213
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,101,1788548638507320846,1788548638667445846,160,832.559,458.125,1.3817594770702883,8.175974881616117
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,102,1788548638712583846,1788548639258069846,545,708.24,472.088,-6.552478330766073,7.270526209352823
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,103,1788548639313069846,1788548639468319846,155,797.973,439.091,-0.8305796891576254,9.384103246513959
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,104,1788548639508330846,1788548639668446846,160,895.099,440.614,5.389840740672752,9.274174624303622
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,105,1788548639698444846,1788548639843569846,145,932.592,439.106,7.790938930371255,9.353529928524138
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,106,1788548639893702846,1788548640038819846,145,771.03,435.644,-2.5569819775819305,9.599102579129225
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,107,1788548640068829846,1788548640384069846,315,708.706,443.807,-6.5405877506079975,9.061335901408135
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,108,1788548640514193846,1788548640809568846,295,877.279,429.059,4.254761591252608,10.01222699255973
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,109,1788548640844568846,1788548641114818846,270,822.94,455.658,0.7670454075708291,8.333062467042279
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,110,1788548641159822846,1788548641900568846,741,701.573,444.105,-6.996165088672146,9.039165606416606
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,111,1788548641945567846,1788548645939318846,3994,840.774,489.092,1.9013715255377417,6.20899819032255
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,112,1788548645959315846,1788548650073187846,4114,903.607,396.365,5.969901192688932,12.07261557261481
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,113,1788548650218311846,1788548653711684846,3493,941.311,480.055,8.314617865427737,6.758970294731479
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,114,1788548653741684846,1788548654112062846,370,984.921,507.274,11.069996896456534,5.021965489783541
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,115,1788548654137059846,1788548654567433846,430,960.544,515.645,9.516147468414944,4.5014047732136735
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,116,1788548654587433846,1788548656539307846,1952,977.111,460.41,10.614128341778667,7.982779927976568
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,117,1788548656584307846,1788548656874556846,290,824.865,377.203,0.9011970969170814,13.309019368676553
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,118,1788548657009806846,1788548657124806846,115,928.562,381.331,7.5945397413241,13.008587234434948
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,119,1788548657169931846,1788548658511180846,1341,801.215,394.993,-0.6255832216202759,12.181233512194334
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,120,1788548658646305846,1788548659211805846,566,643.429,426.655,-10.728890035775967,10.10422869668041
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,121,1788548659251804846,1788548659457057846,205,816.308,498.036,0.3411391584062579,5.641730663638803
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,122,1788548659692304846,1788548659812429846,120,820.052,481.683,0.5806018074056112,6.680542340212431
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,123,1788548659837436846,1788548663010430846,3173,822.809,501.734,0.7551604145862574,5.406712010176791
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,124,1788548663205551846,1788548663926301846,721,831.199,463.774,1.2940155173567665,7.817420472604204
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,125,1788548664271551846,1788548664496800846,225,726.92,1146.255,-6.0719272069022345,-35.269523994119105
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,126,1788548664526800846,1788548664787050846,260,802.485,1085.663,-0.5756949228648468,-31.490951948044405
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,127,1788548664952175846,1788548665202425846,250,885.643,234.493,4.995205734933356,22.315892196994742
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,128,1788548665237446846,1788548665447678846,210,820.65,308.001,0.6397634730733779,17.690739299852925
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,129,1788548665472675846,1788548668925922846,3453,841.938,359.415,2.0109834182084976,14.433784441487191
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,130,1788548668960922846,1788548669586555846,626,838.556,451.537,1.7664854668334564,8.5937059965844
