section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,208,1788548730674176846,1788548730714176846,40,66.77738189697266,4.2361531257629395,1696.8350830078125,2316.460693359375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,209,1788548731099559846,1788548731134551846,35,53.86302947998047,3.4130699634552,1563.5513916015625,2090.909912109375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,210,1788548731339806846,1788548731399800846,60,97.87830352783203,6.1977128982543945,1667.89306640625,2150.767333984375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,211,1788548732155550846,1788548732175550846,20,19.00269889831543,1.1939042806625366,957.7166748046875,1105.645263671875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,212,1788548733136433846,1788548733191565846,55,125.5095443725586,7.900509834289551,2293.83154296875,3499.223388671875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,213,1788548733421800846,1788548733461800846,40,83.29106140136719,5.239442348480225,2084.436767578125,2855.132080078125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,214,1788548734557799846,1788548734722924846,165,61.188961029052734,3.853362560272217,2264.55615234375,5741.70849609375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,215,1788548735413674846,1788548735458674846,45,61.11705017089844,3.8466694355010986,1424.4810791015625,1935.177734375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,216,1788548736529674846,1788548736584674846,55,183.77227783203125,11.568170547485352,3436.866455078125,5527.384765625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,217,1788548736759923846,1788548736789924846,30,37.91739273071289,2.3868985176086426,1268.033447265625,1575.372314453125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,218,1788548736940048846,1788548736980048846,40,81.29740142822266,5.119649887084961,2040.3359375,2836.07763671875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,219,1788548737330423846,1788548737505548846,175,68.6959228515625,4.317285537719727,3196.7646484375,6644.626953125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,220,1788548737695807846,1788548737720805846,25,26.121540069580078,1.647701382637024,1044.1256103515625,1196.31005859375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,221,1788548738171173846,1788548738206298846,35,61.87423324584961,3.9163739681243896,1772.4111328125,2312.052490234375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,222,1788548739277301846,1788548739502422846,225,17.61411476135254,1.1180287599563599,2742.874755859375,7161.26806640625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,223,1788548740578422846,1788548740638547846,60,192.0036163330078,12.151975631713867,3220.65966796875,5537.88427734375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,224,1788548740863797846,1788548740898797846,35,78.85784912109375,4.991217613220215,2308.594482421875,3007.383544921875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,225,1788548741619422846,1788548741864671846,245,291.507568359375,18.368398666381836,3791.383544921875,8850.40234375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,226,1788548742079921846,1788548742365171846,285,54.12872314453125,3.423682928085327,3765.793212890625,8045.931640625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,227,1788548742515296846,1788548742535308846,20,22.495243072509766,1.4238008260726929,1015.178955078125,1085.5960693359375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,228,1788548743205921846,1788548743225921846,20,20.753522872924805,1.3168971538543701,924.3662109375,990.6656494140625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,229,1788548744452170846,1788548744542170846,90,31.197555541992188,1.975642204284668,3426.66796875,7025.5498046875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,230,1788548744977670846,1788548745007670846,30,31.367877960205078,1.987356424331665,1244.3692626953125,1421.9322509765625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,231,1788548745172806846,1788548745197795846,25,31.845539093017578,2.021524429321289,1276.66259765625,1429.666015625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,232,1788548745928545846,1788548745948555846,20,18.116771697998047,1.1499689817428589,888.078857421875,955.1902465820312
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,233,1788548746138670846,1788548746168677846,30,55.54689407348633,3.5205209255218506,1808.3983154296875,2213.013916015625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,234,1788548746303920846,1788548746343920846,40,92.73440551757812,5.88405179977417,2323.05126953125,3145.283447265625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,235,1788548747855294846,1788548747890294846,35,78.4129638671875,4.976795196533203,2259.069580078125,2897.453369140625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,236,1788548748606044846,1788548748641044846,35,47.7760009765625,3.0307705402374268,1360.73388671875,1737.45263671875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,237,1788548749461793846,1788548749511918846,50,54.94382095336914,3.4805922508239746,1084.516845703125,1254.4942626953125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,238,1788548750447793846,1788548750482793846,35,65.8006362915039,4.165308952331543,1886.33544921875,2478.710205078125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,239,1788548750863172846,1788548750893168846,30,42.62137222290039,2.693321943283081,1282.9073486328125,1779.030029296875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,240,1788548751638917846,1788548751668924846,30,32.399818420410156,2.0517241954803467,1099.437255859375,1315.0377197265625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,241,1788548752895042846,1788548752915042846,20,16.930089950561523,1.0710079669952393,863.0797119140625,927.167236328125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,242,1788548753460552846,1788548753490667846,30,33.279541015625,2.103268623352051,1108.898193359375,1317.567138671875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,243,1788548754451541846,1788548754486541846,35,40.36913299560547,2.543722629547119,1164.418212890625,1389.3089599609375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,244,1788548755057045846,1788548755087171846,30,29.01597785949707,1.8308244943618774,974.3733520507812,1135.311279296875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,245,1788548756528415846,1788548756573540846,45,59.36007308959961,3.7473325729370117,1375.798828125,1816.6070556640625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,246,1788548757099054846,1788548757124040846,25,23.009031295776367,1.4484902620315552,927.5761108398438,993.43994140625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,247,1788548758430290846,1788548758460290846,30,38.78684997558594,2.4404067993164062,1300.79931640625,1574.5684814453125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,248,1788548759020790846,1788548759045789846,25,29.605392456054688,1.856945514678955,1191.665771484375,1377.95361328125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,249,1788548759581289846,1788548759616414846,35,51.976890563964844,3.2710318565368652,1494.3468017578125,1811.9625244140625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,250,1788548760086789846,1788548760106789846,20,17.81691551208496,1.1203888654708862,897.9957885742188,950.8698120117188
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,251,1788548760392164846,1788548760442164846,50,86.9469985961914,5.481532096862793,1748.2110595703125,2525.970458984375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,252,1788548760832539846,1788548760857543846,25,22.800201416015625,1.4358415603637695,923.1928100585938,1086.1644287109375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,253,1788548761408038846,1788548761458163846,50,155.264404296875,9.739665031433105,3114.17041015625,4890.2705078125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,254,1788548761628288846,1788548761663288846,35,50.390953063964844,3.168778896331787,1438.475341796875,1920.645751953125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,255,1788548762073663846,1788548762103663846,30,40.213356018066406,2.5432026386260986,1448.944091796875,1717.25830078125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,256,1788548762529163846,1788548762559163846,30,46.528167724609375,2.952702522277832,1735.7025146484375,2107.7099609375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,257,1788548763149663846,1788548763184792846,35,54.875823974609375,3.4823410511016846,1665.28076171875,2256.45703125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,258,1788548763394913846,1788548763555037846,160,58.668983459472656,3.7246336936950684,4118.265625,10998.5283203125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,259,1788548763705301846,1788548763725287846,20,19.581457138061523,1.23987877368927,1013.4458618164062,1098.2098388671875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,260,1788548767628911846,1788548767819047846,190,44.75267791748047,2.8392958641052246,3895.5703125,11523.931640625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,261,1788548768384660846,1788548768414660846,30,47.02558898925781,2.9806015491485596,1530.9378662109375,1890.9951171875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,262,1788548768760035846,1788548768825035846,65,152.20010375976562,9.629636764526367,2369.22216796875,3567.279541015625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,263,1788548769055285846,1788548769110285846,55,158.82191467285156,10.029017448425293,2857.426513671875,4501.361328125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,264,1788548769580785846,1788548769780913846,200,9.239890098571777,0.5863133072853088,3026.84228515625,7481.16650390625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,265,1788548770071160846,1788548770096285846,25,23.800445556640625,1.504785180091858,930.99658203125,1067.30029296875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,266,1788548770316409846,1788548770336421846,20,17.743545532226562,1.1247354745864868,931.6495361328125,1021.521240234375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,267,1788548770646784846,1788548770701784846,55,149.0529022216797,9.41232967376709,2987.894775390625,4631.16357421875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,268,1788548770942034846,1788548770987040846,45,98.81990051269531,6.244061470031738,2098.231689453125,3001.95654296875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,269,1788548771227284846,1788548771287415846,60,215.73135375976562,13.574446678161621,3658.740966796875,6071.3017578125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,270,1788548771517534846,1788548771547659846,30,36.08340072631836,2.277667284011841,1152.668212890625,1436.841064453125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,271,1788548771892909846,1788548771922913846,30,39.21124267578125,2.4844961166381836,1301.38037109375,1646.43798828125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,272,1788548772158159846,1788548772188159846,30,44.804405212402344,2.845304250717163,1496.4744873046875,1843.5777587890625
